Str	Len	var	wt
1	2.39240506329114	1.04987887247115	752.467756723722
2	2.2655601659751	0.498459602814515	1933.95812731232
3	2.25992102065614	0.35433841321136	4645.27677110235
4	2.16885604816639	0.154933137535963	11792.183577099
5	2.27453271028037	0.169450395188909	10103.2517397874
6	2.15962900505902	0.144626022584156	8200.46060044194
7	2.14198706099815	0.12331917467054	8773.98022562732
8	2.12895683453237	0.151402151795969	5508.50823523239
9	2.13531476997579	0.0955863856482499	8641.39798150348
10	2.02556270096463	0.0677351901041259	9182.81913793747
11	2.13530470914127	0.104057951406365	6938.44141886344
12	2.05190271816881	0.0623644260527729	11208.31288351
13	2.08634517766497	0.0468466196334855	12615.638110579
14	2.10180081855389	0.0778385559009689	9416.92701663901
15	2.11713665943601	0.0976026530227294	4723.2322659574
16	2.11853963838665	0.100310817019925	7167.72150163209
17	2.08445273631841	0.0839958344189279	4785.95162225583
18	2.06251928020566	0.0387482760448414	10039.1563111048
19	2.11514184397163	0.0586969548976552	4804.3378143159
20	2.06335012594458	0.0316268796275093	12552.6136209367
21	2.1043220338983	0.0410901767039308	5743.46520095213
22	1.94913580246914	0.0563538907980144	8624.07179198927
23	2.17415	0.187749022613065	1065.25188369253
24	2.08044303797468	0.0440768725308394	3584.64634462102
25	1.99203187250996	0.0272258549800797	9219.17788013082
26	2.06053691275168	0.0231483584255396	6436.74152874737
27	2.10117647058824	0.02831202809482	2401.80603707586
28	2.09474226804124	0.0197356099656357	4914.97350063664
29	1.98854166666667	0.0274684877622377	5242.37086680701
30	2.19377777777778	0.0847338826466916	1062.14889709782
31	2.11306666666667	0.0372512792792793	2013.35367405001
32	2.11022727272727	0.0162487843551797	2707.89488236231
33	1.96081632653061	0.0250576530612245	1955.49039969051
34	2.0340350877193	0.0173423558897243	3286.75067923001
35	1.83326241134752	0.0228235663627153	6177.82504974063
36	1.88388888888889	0.108025163398693	166.627843306903
37	2.03109589041096	0.0286237823439878	2550.32682692729
38	2.10827956989247	0.0114752688172043	8104.38530734632
39	1.91944444444444	0.0481937908496732	373.492096858408
40	1.93	0	0
41	2.27	0	0
42	2.046	0.00255999999999999	3906.25000000001
43	1.95	0	0
44	2.3425	0.04218	379.326695116169
47	2.4	0	0
64	2.89	0	0
65	2.21064516129032	0.00504623655913978	6143.19198806734
81	2.15	0	0
